"No.","Time","Source","Destination","Protocol","Length","Info"
"980607","140.865573085","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x58f31d88,Begin:0x61e69cd3,Len:0xe1b8e2ab)  "
"983283","141.351242145","64.66.221.143","10.120.0.102","BitTorrent","1170","Piece[Malformed Packet]"
"983584","141.386982304","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x46a07229,Begin:0xa1727639,Len:0xe7bf2be)  "
"983975","141.425283958","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"983985","141.425468980","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x57fe177a,Begin:0x3a5c1958,Len:0xafb4ff7)  "
"990436","142.411162538","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x48328da9,Begin:0xffa556ac,Len:0x4d1ca280)  "
"994130","142.917460184","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x8f358c81,Begin:0x57ed13ab,Len:0x2c3b1023)  "
"994353","142.939418542","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x9c19e092,Begin:0x155b05b4,Len:0xd6178ecc)  "
"994826","142.975402409","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"995167","143.011600614","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x1b9dcea5,Begin:0x490b775d,Len:0xe52449e3)  "
"998248","143.424582768","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x15d59861,Begin:0x6ad068e7,Len:0xbffedf2d)  "
"1006605","144.507301919","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1007346","144.579966155","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x2dee86b0,Begin:0xfa82e337,Len:0x64e10b0b)  "
"1007367","144.580490452","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x2df6fc3e,Begin:0x8bf77ee8,Len:0x956c8e16)  "
"1008395","144.705699272","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1010411","144.962762410","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1010481","144.970519367","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x13a6a2e2,Begin:0xc4e62731,Len:0xcabd510e)  "
"1013726","145.340142151","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1014971","145.479013357","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x4c12d9f2,Begin:0x588b1ef4,Len:0x57d58d29)  "
"1018961","145.921178355","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xb72c40a6,Begin:0x3c75f6e4,Len:0x4e5a7748)  "
"1023420","146.540060157","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xa06ef119,Begin:0xe4359714,Len:0xd34a83cb)  "
"1023653","146.563675847","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x150079e3,Begin:0x44207700,Len:0x206725c1)  "
"1026663","146.971572336","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xb2e15584,Begin:0x92dec138,Len:0xef0fadac)  "
"1027664","147.098142045","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x77db29b4,Begin:0x8de74db4,Len:0xda1d4aa3)  "
"1029811","147.471955343","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1031285","147.731550523","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x9063cebd,Begin:0x95f48aff,Len:0x83fab774)  "
"1032641","147.982445284","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x92b3635c,Begin:0x1ac31cb9,Len:0x44000a10)  "
"1032736","147.998581838","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"1032756","148.002999326","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x41c8014e,Begin:0x488bdee6,Len:0xa43b4740)  "
"1033707","148.138129399","64.66.221.143","10.120.0.102","BitTorrent","616","Piece[Malformed Packet]"
